codigo;descricao;valor;via_acesso;notas
31102204;REIMPLANTE URETERO-VESICAL UNILATERAL VIA COBINADA; 1.871,96 ;;
31009298;RESSUTURA DA PAREDE ABDOMINAL POR DEISCÊNCIA TOTAL OU EVISCERAÇÃO; 715,68 ;;
30913128;RETIRADA CIRÚRGICA DE CATETER DE LONGA PERMANÊNCIA; 471,20 ;;
31005390;SEGMENTECTOMIA HEPÁTICA; 2.417,02 ;;
30101786;SUTURA DE EXTENSOS FERIMENTOS COM OU SEM DEBRIDAMENTO; 618,90 ;;
30101794;SUTURA DE PEQUENOS FERIMENTOS COM OU SEM DEBRIDAMENTO; 152,80 ;;
31009301;TERATOMA SACRO COCCÍGEO – EXÉRESE; 2.804,16 ;;
30804132;TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA; 787,02 ;;
30601177;TORACOTOMIA COM BIÓPSIA; 1.553,64 ;;
30601185;TORACOTOMIA EXPLORADORA (EXCLUÍDOS PROCEDIMENTOS INTRATORÁCICOS); 1.377,88 ;;
31203108;TORÇÃO DE TESTÍCULO - TRATAMENTO CIRÚRGICO; 1.314,22 ;;
31102239;TRANSURETEROSTOMIA; 2.009,52 ;;
30801109;TRAQUEOSTOMIA COM COLOCAÇÃO DE PRÓTESE TRAQUEAL POR VIA CERVICAL; 1.461,90 ;;
30101913;TUMOR DE PARTES MOLES - EXÉRESE; 430,44 ;;
31203116;TUMOR DE TESTÍCULO - RESSECÇÃO; 715,68 ;;
31101461;TUMOR WILMS - TRATAMENTO CIRÚRGICO; 3.076,70 ;;
31101470;TUMORES RETRO PERITONEAIS MALIGNOS UNILATERAIS - EXÉRESE; 3.188,74 ;;
30101484;UNHA - EXÉRESE; 152,80 ;;
31009271;ÚRACO (CISTO OU FÍSTULA) – RESSECÇÃO; 715,68 ;;
31102247;URETERECTOMIA UNILATERAL; 1.314,22 ;;
31102255;URETEROCELE UNILATERAL - RESSECÇÃO A CÉU ABERTO; 1.314,22 ;;
31104177;VÁLVULA URETRAL POSTERIOR - RESSECÇÃO; 1.698,82 ;;
31203124;VARICOCELE UNILATERAL - CORREÇÃO CIRÚRGICA; 715,68 ;;
31103464;VESICOSTOMIA CUTÂNEA; 618,90 ;;
31003249;VOLVO INTESTINAL - DISTORÇÃO POR LAPAROTOMIA; 1.314,22 ;;
40201163;Laparoscopia; 477,96 ;;
31203132;Orquidopexia laparoscópica unilateral; 2.009,52 ;;
31204066;Cisto de epidídimo unilateral-excérese; 279,30 ;;
31203078;Orquiectomia unilateral; 715,68 ;;
31203035;Escroto agudo-exploração cirúrgica; 1.014,92 ;;
30722586;Polidactilia não articulada-tratamento cirúrgico; 360,00 ;;
31104142;Meatotomia uretral; 315,74 ;;
40806103;Colangiografia intra-operatória; 177,00 ;;
40809161;Punção vascular guiada por US; 332,40 ;;
40902110;Drenagem percutânea orientada por US                     R$; 391,68 ;;
31001149;Reintervenção  sobre  a  junção  esôfa-gástrica  por videolaparoscopia; 1.551,88 ;;
31005101;Colecistectomia com colangiografia; 1.199,82 ;;
31005470;Colecistectomia com colangiografia por video             R$; 1.551,88 ;;
30210119;Excérese de tumor maligno de pele; 332,40 ;;
30101921;Excérese  e  sutura  de  hemangioma,  linfangioma  ou nevus (por grupo até 5 lesões); 365,76 ;;
30401100;Tratamento cirúrgico de sinus pré-auricular; 477,96 ;;
30402050;Orelha externa: retirada de corpos estranhos pólipos ou biópsias em hospital sob anestesia; 477,96 ;;
30203015;Frenotomia lingual; 271,26 ;;
30212022;Drenagem de abscesso cervical profundo; 552,72 ;;
30212014;Cervicotomia exploradora; 940,18 ;;
31307116;Omentectomia convencional; 871,96 ;;
31307248;Omentectomia laparoscópica; 1.217,40 ;;
31004202;Hemorroidectomia aberta ou fechada; 794,62 ;;
31004253;Prolapso retal-esclerose por sessão; 177,00 ;;
31005675;Biópsia hepática por videolaparoscopia; 794,62 ;;
31007023;Esplenectomia parcial; 1.680,00 ;;
31007058;Esplenectomia parcial por videolaparoscopia; 2.462,56 ;;
31003761;Piloromiotomia por videolaparoscopia; 1.630,00 ;;
31304044;Salpingectomia uniou bilateral; 940,18 ;;
31304087;Salpingectomia uni ou bilateral videolaparoscopia; 1.199,82 ;;
30804116;Retirada de dreno tubular torácico; 177,00 ;;
30804086;Punção pleural; 243,84 ;;
30804043;Pleurodese qualquer técnica; 794,62 ;;
30804183;Pleuroscopia por videotoracoscopia; 1.445,66 ;;
30803152;Segmentectomia qualquer técnica; 1.331,94 ;;
30803233;Segmentectomia por videotoracoscopia; 1.974,78 ;;
30803080;Lobectomia pulmonar; 2.165,56 ;;
30803217;Lobectomia pulmonar por videotoracoscopia; 3.243,42 ;;
30803128;Pneumorrafia; 1.129,00 ;;
30803047;Correção de fístula bronco-pleural qualquer técnica; 2.165,56 ;;
30802024;Broncotomia e/ou broncorrafia; 1.974,78 ;;
30802059;Broncotomia e/ou broncorrafia videotoracoscopia; 2.647,46 ;;
